station,hour,day,weather,event,passenger_count
Trinity,15,Friday,Rain,0,13373
"Dr. B. R. Ambedkar Station, Vidhana Soudha",12,Monday,Rain,1,10747
Whitefield (Kadugodi),11,Saturday,Cloudy,1,11901
Chickpete,22,Saturday,Cloudy,0,15508
Swami Vivekananda Road,14,Friday,Rain,0,11461
Lalbagh,8,Tuesday,Rain,0,17391
National College,11,Saturday,Clear,0,10471
Krishnarajapuram (K.R.Puram),16,Monday,Rain,0,15399
Indiranagar,20,Sunday,Clear,1,14887
Kundalahalli,22,Saturday,Cloudy,0,10782
Seetharampalya,18,Saturday,Cloudy,0,23614
Mahakavi Kuvempu Road,11,Saturday,Cloudy,0,14525
"Nadaprabhu Kempegowda Station, Majestic",17,Wednesday,Rain,1,10535
Cubbon Park,10,Monday,Rain,0,14706
Goraguntepalya,10,Friday,Cloudy,0,15332
Peenya Industry,15,Wednesday,Rain,0,9143
Yelachenahalli,18,Monday,Rain,0,24136
Trinity,12,Thursday,Cloudy,0,8932
Mahatma Gandhi Road,6,Saturday,Rain,1,9346
Pattanagere,17,Thursday,Clear,0,13933
Mahatma Gandhi Road,7,Thursday,Cloudy,0,15407
Chickpete,6,Sunday,Rain,1,13446
Deepanjali Nagar,13,Wednesday,Rain,0,14602
Kengeri Bus Terminal,7,Monday,Cloudy,1,14665
South End Circle,13,Saturday,Clear,0,8439
Mahatma Gandhi Road,22,Thursday,Rain,0,13259
Srirampura,13,Friday,Cloudy,0,14104
"Sir.M.Visvesvaraya Stn., Central College",8,Thursday,Rain,0,15535
"Dr. B. R. Ambedkar Station, Vidhana Soudha",10,Saturday,Cloudy,0,9669
Seetharampalya,6,Monday,Clear,0,11381
Krishna Rajendra Market,13,Tuesday,Cloudy,0,9649
Krishna Rajendra Market,9,Thursday,Clear,0,20516
Yeshwanthpur,12,Sunday,Rain,0,8756
Vijayanagar,21,Monday,Cloudy,0,12561
Thalaghattapura,13,Tuesday,Clear,0,8428
"Dr. B. R. Ambedkar Station, Vidhana Soudha",8,Wednesday,Rain,0,15982
Kengeri Bus Terminal,10,Saturday,Rain,0,8470
Kengeri,9,Wednesday,Rain,0,16930
Garudacharapalya,7,Wednesday,Clear,0,8939
"Nadaprabhu Kempegowda Station, Majestic",6,Thursday,Rain,0,10038
Pantharapalya - Nayandahalli,22,Thursday,Cloudy,0,14763
Peenya Industry,15,Monday,Rain,0,11264
Magadi Road,14,Sunday,Clear,1,8494
Kengeri,13,Monday,Clear,0,10457
Mysore Road,11,Wednesday,Cloudy,0,11520
Jnanabharathi,22,Saturday,Rain,0,9282
Pattanagere,13,Sunday,Rain,0,14796
Silk Institute,10,Saturday,Cloudy,0,11772
Seetharampalya,19,Tuesday,Rain,0,14193
Deepanjali Nagar,13,Thursday,Cloudy,0,14797
Lalbagh,11,Monday,Cloudy,0,11565
Mahakavi Kuvempu Road,22,Monday,Clear,0,13448
Vijayanagar,12,Friday,Cloudy,0,12866
Indiranagar,6,Monday,Clear,0,10315
Mysore Road,6,Friday,Rain,0,10507
Kengeri Bus Terminal,14,Friday,Clear,0,13019
Whitefield (Kadugodi),11,Monday,Clear,1,9940
Peenya Industry,15,Thursday,Rain,0,15076
Whitefield (Kadugodi),8,Tuesday,Cloudy,0,21943
Hoodi,7,Friday,Cloudy,0,13558
Attiguppe,17,Monday,Cloudy,0,10081
Mahalakshmi,14,Friday,Clear,0,10862
"Sri Balagangadharanatha Swamiji Station, Hosahalli",14,Saturday,Clear,1,13445
Dasarahalli,21,Wednesday,Clear,1,15425
Jayaprakash Nagar,14,Friday,Cloudy,0,13592
Kengeri,9,Sunday,Cloudy,0,23738
Krishna Rajendra Market,8,Thursday,Rain,1,19845
Swami Vivekananda Road,12,Thursday,Rain,1,10270
Yelachenahalli,8,Tuesday,Clear,1,16637
Kadugodi Tree Park,17,Wednesday,Clear,0,10878
Banashankari,18,Tuesday,Rain,1,16111
Dasarahalli,20,Sunday,Cloudy,0,14129
Kengeri,7,Friday,Clear,0,14346
Deepanjali Nagar,13,Saturday,Clear,0,9273
Sri Sathya Sai Hospital,18,Tuesday,Rain,0,23105
Krishna Rajendra Market,21,Wednesday,Cloudy,1,15549
Krishnarajapuram (K.R.Puram),10,Monday,Cloudy,1,14229
Jayaprakash Nagar,8,Thursday,Rain,0,22796
Hopefarm Channasandra,14,Thursday,Clear,0,11191
Deepanjali Nagar,19,Sunday,Clear,0,20508
Jnanabharathi,19,Sunday,Rain,0,24240
Rajajinagar,14,Friday,Rain,0,13352
Jayanagar,22,Friday,Rain,0,9705
Jnanabharathi,19,Wednesday,Cloudy,1,16250
Cubbon Park,16,Sunday,Cloudy,0,15567
Rajajinagar,12,Thursday,Clear,0,14604
Krishna Rajendra Market,6,Wednesday,Cloudy,1,11332
Krantivira Sangolli Rayanna Railway Station,9,Saturday,Clear,0,16041
Mahalakshmi,21,Friday,Cloudy,0,14547
Magadi Road,7,Tuesday,Cloudy,1,12969
Dasarahalli,21,Sunday,Cloudy,0,12179
Lalbagh,9,Wednesday,Rain,1,19191
Yelachenahalli,9,Monday,Rain,1,16815
Deepanjali Nagar,9,Tuesday,Cloudy,0,21025
Chickpete,21,Wednesday,Clear,0,10063
Pattanagere,12,Thursday,Clear,0,13892
"Sri Balagangadharanatha Swamiji Station, Hosahalli",15,Wednesday,Cloudy,0,13606
Kengeri,21,Friday,Rain,0,12468
Pantharapalya - Nayandahalli,12,Wednesday,Rain,0,8819
Hoodi,12,Thursday,Clear,0,13418
Jayaprakash Nagar,13,Sunday,Cloudy,0,9823
Jayanagar,16,Wednesday,Clear,0,12553
Trinity,22,Sunday,Cloudy,0,13022
Dasarahalli,19,Wednesday,Clear,0,14269
Jalahalli,18,Sunday,Clear,0,15297
Mantri Square Sampige Road,8,Wednesday,Rain,1,23172
Cubbon Park,17,Saturday,Clear,1,9246
Krishna Rajendra Market,7,Tuesday,Clear,0,11528
Halasuru,16,Sunday,Clear,0,9453
Indiranagar,18,Friday,Rain,1,18615
Kengeri,16,Sunday,Clear,1,11393
Baiyappanahalli,8,Saturday,Cloudy,0,23871
Doddakallasandra,8,Wednesday,Rain,0,16759
Kengeri,13,Wednesday,Cloudy,0,14186
Vajarahalli,16,Thursday,Cloudy,0,14309
Seetharampalya,8,Thursday,Rain,0,24181
Jnanabharathi,14,Friday,Cloudy,0,8421
Kadugodi Tree Park,16,Sunday,Cloudy,0,9730
Rashtreeya Vidyalaya Road,9,Wednesday,Rain,0,14591
Banashankari,22,Wednesday,Rain,0,12321
Kengeri,7,Wednesday,Rain,0,12019
Peenya Industry,18,Monday,Cloudy,1,16105
Seetharampalya,16,Tuesday,Rain,1,8915
Mysore Road,20,Thursday,Cloudy,1,13542
Hoodi,16,Wednesday,Clear,0,9071
Banashankari,22,Saturday,Cloudy,0,11292
Rashtreeya Vidyalaya Road,8,Tuesday,Rain,1,14998
Kengeri,15,Saturday,Clear,1,13862
Seetharampalya,17,Saturday,Clear,0,11223
Kundalahalli,16,Saturday,Clear,1,15253
"Dr. B. R. Ambedkar Station, Vidhana Soudha",7,Saturday,Clear,1,8812
Srirampura,16,Tuesday,Clear,1,12884
Kengeri,19,Sunday,Cloudy,0,23226
Mahatma Gandhi Road,18,Wednesday,Rain,1,24311
Rashtreeya Vidyalaya Road,18,Saturday,Cloudy,0,21723
Mahatma Gandhi Road,6,Monday,Cloudy,0,15395
Mahakavi Kuvempu Road,16,Saturday,Rain,0,13736
Sri Sathya Sai Hospital,9,Thursday,Rain,0,15359
Pantharapalya - Nayandahalli,20,Wednesday,Clear,0,9021
Indiranagar,19,Wednesday,Rain,0,21725
Nagasandra,6,Saturday,Rain,1,8538
"Nadaprabhu Kempegowda Station, Majestic",7,Wednesday,Clear,0,14606
Vijayanagar,16,Tuesday,Cloudy,0,13056
Pantharapalya - Nayandahalli,15,Friday,Clear,0,12804
Singayyanapalya,18,Tuesday,Cloudy,0,15888
Krishnarajapuram (K.R.Puram),6,Friday,Clear,1,8444
Peenya,14,Thursday,Clear,0,8621
Vijayanagar,16,Thursday,Cloudy,0,14112
Rashtreeya Vidyalaya Road,17,Wednesday,Rain,0,10792
Kengeri,17,Monday,Clear,0,8640
Thalaghattapura,15,Thursday,Cloudy,0,14933
Yelachenahalli,17,Sunday,Rain,0,12510
Peenya Industry,22,Monday,Cloudy,0,8954
Mysore Road,19,Sunday,Cloudy,0,18905
Whitefield (Kadugodi),20,Wednesday,Cloudy,0,11179
Pattanagere,6,Thursday,Cloudy,0,15207
Nagasandra,21,Wednesday,Clear,0,15034
Peenya,15,Friday,Rain,0,11861
Kengeri Bus Terminal,20,Monday,Cloudy,0,9695
Seetharampalya,10,Monday,Rain,1,14336
Nallurhalli,16,Sunday,Clear,1,9120
Magadi Road,14,Monday,Clear,1,13624
Vijayanagar,8,Saturday,Cloudy,0,18858
Chickpete,18,Sunday,Cloudy,0,19693
Kundalahalli,17,Tuesday,Cloudy,0,11495
Dasarahalli,18,Tuesday,Clear,0,14307
Mahakavi Kuvempu Road,19,Monday,Clear,0,23424
Vijayanagar,13,Friday,Clear,1,13678
Thalaghattapura,9,Tuesday,Clear,0,21212
Mahalakshmi,20,Thursday,Cloudy,0,14311
South End Circle,11,Saturday,Clear,0,12990
Jnanabharathi,8,Saturday,Clear,0,21045
Seetharampalya,9,Saturday,Cloudy,1,22263
Nagasandra,9,Saturday,Clear,0,17898
"Dr. B. R. Ambedkar Station, Vidhana Soudha",21,Monday,Clear,0,9258
"Nadaprabhu Kempegowda Station, Majestic",22,Monday,Cloudy,1,11710
Silk Institute,18,Thursday,Rain,1,22534
Krantivira Sangolli Rayanna Railway Station,13,Saturday,Clear,0,15567
Mahalakshmi,8,Thursday,Cloudy,0,19749
Banashankari,20,Friday,Rain,1,11647
Krantivira Sangolli Rayanna Railway Station,18,Tuesday,Cloudy,0,19819
Sri Sathya Sai Hospital,13,Tuesday,Rain,0,14397
Garudacharapalya,9,Sunday,Clear,0,15115
Pattanagere,19,Friday,Cloudy,1,17052
Dasarahalli,12,Tuesday,Clear,0,14904
Indiranagar,9,Wednesday,Rain,0,17732
Nagasandra,18,Friday,Clear,0,21016
Krantivira Sangolli Rayanna Railway Station,16,Sunday,Clear,1,10222
Sandal Soap Factory,20,Monday,Cloudy,0,10967
Yelachenahalli,6,Monday,Rain,0,9031
Mahatma Gandhi Road,11,Thursday,Rain,0,8997
Garudacharapalya,8,Thursday,Rain,0,18371
Konanakunte Cross,16,Tuesday,Clear,0,9355
Baiyappanahalli,11,Saturday,Cloudy,1,9859
Dasarahalli,8,Friday,Clear,0,17594
Vijayanagar,20,Wednesday,Cloudy,0,13033
"Sir.M.Visvesvaraya Stn., Central College",9,Wednesday,Clear,0,24947
Attiguppe,11,Friday,Cloudy,0,9276
Krantivira Sangolli Rayanna Railway Station,13,Sunday,Clear,0,13131
"Dr. B. R. Ambedkar Station, Vidhana Soudha",6,Sunday,Rain,1,15239
Whitefield (Kadugodi),10,Wednesday,Rain,1,11438
"Dr. B. R. Ambedkar Station, Vidhana Soudha",8,Thursday,Cloudy,1,17050
Mahalakshmi,15,Wednesday,Rain,0,15501
"Sri Balagangadharanatha Swamiji Station, Hosahalli",11,Friday,Rain,0,14470
Trinity,22,Friday,Rain,0,12162
Yelachenahalli,10,Sunday,Clear,1,14022
Rajarajeshwari Nagar,8,Saturday,Cloudy,0,14633
Rajajinagar,20,Tuesday,Clear,1,13396
Peenya Industry,9,Sunday,Rain,0,21268
Krishnarajapuram (K.R.Puram),9,Sunday,Clear,0,14540
Kundalahalli,12,Saturday,Cloudy,0,14533
Peenya Industry,11,Monday,Clear,0,10901
Kengeri Bus Terminal,15,Thursday,Cloudy,0,11732
"Nadaprabhu Kempegowda Station, Majestic",21,Thursday,Cloudy,0,8611
Yelachenahalli,19,Thursday,Rain,0,16713
"Dr. B. R. Ambedkar Station, Vidhana Soudha",11,Monday,Clear,0,15602
Dasarahalli,11,Wednesday,Cloudy,1,9324
Krantivira Sangolli Rayanna Railway Station,17,Tuesday,Cloudy,0,12283
Krishnarajapuram (K.R.Puram),11,Friday,Rain,0,11917
Peenya,15,Saturday,Rain,1,15153
Mantri Square Sampige Road,17,Monday,Rain,0,11070
Singayyanapalya,21,Saturday,Cloudy,1,9462
South End Circle,7,Thursday,Cloudy,1,8993
Singayyanapalya,12,Monday,Rain,0,13551
Jayanagar,7,Friday,Cloudy,0,10015
Krishna Rajendra Market,8,Monday,Cloudy,0,21462
Indiranagar,11,Wednesday,Cloudy,0,14262
Halasuru,10,Friday,Cloudy,0,13879
South End Circle,13,Sunday,Clear,1,15111
Kengeri,12,Thursday,Cloudy,0,9210
Kundalahalli,22,Thursday,Clear,1,9313
Trinity,16,Tuesday,Cloudy,0,11397
Deepanjali Nagar,15,Thursday,Rain,1,8614
"Sri Balagangadharanatha Swamiji Station, Hosahalli",6,Thursday,Clear,1,9087
Banashankari,14,Thursday,Cloudy,0,10502
Nallurhalli,11,Wednesday,Clear,0,10599
Krishnarajapuram (K.R.Puram),19,Tuesday,Cloudy,0,16625
Doddakallasandra,11,Sunday,Rain,0,13134
Garudacharapalya,20,Wednesday,Cloudy,1,8590
Swami Vivekananda Road,20,Monday,Rain,0,9527
Peenya,10,Thursday,Cloudy,0,9145
Singayyanapalya,13,Thursday,Clear,0,11302
Garudacharapalya,13,Wednesday,Rain,0,14040
Yeshwanthpur,10,Wednesday,Cloudy,0,13607
Rashtreeya Vidyalaya Road,13,Saturday,Rain,1,13617
Deepanjali Nagar,11,Saturday,Rain,0,12394
Indiranagar,19,Thursday,Clear,0,21127
South End Circle,8,Wednesday,Cloudy,0,23774
Mahakavi Kuvempu Road,10,Tuesday,Rain,0,11892
Krishnarajapuram (K.R.Puram),15,Friday,Cloudy,0,12184
Konanakunte Cross,10,Monday,Clear,0,10973
Mantri Square Sampige Road,8,Tuesday,Clear,0,19199
Yeshwanthpur,13,Wednesday,Clear,1,14795
Mahakavi Kuvempu Road,20,Saturday,Rain,0,14050
Pattanagere,13,Monday,Rain,0,14202
Mahalakshmi,17,Monday,Rain,1,14222
Chickpete,16,Thursday,Rain,0,11365
Silk Institute,22,Monday,Rain,0,10564
Garudacharapalya,9,Wednesday,Cloudy,0,23523
Magadi Road,6,Monday,Rain,0,12308
Doddakallasandra,19,Tuesday,Clear,0,15608
Banashankari,7,Friday,Cloudy,0,8830
Attiguppe,9,Thursday,Rain,0,14311
Jnanabharathi,16,Monday,Cloudy,0,11677
Mantri Square Sampige Road,9,Tuesday,Rain,0,14169
Yeshwanthpur,21,Thursday,Cloudy,0,9409
Rajarajeshwari Nagar,13,Monday,Cloudy,0,10536
Chickpete,8,Tuesday,Cloudy,1,19629
"Sri Balagangadharanatha Swamiji Station, Hosahalli",7,Thursday,Clear,1,11331
Kadugodi Tree Park,10,Monday,Rain,0,12827
Seetharampalya,8,Tuesday,Rain,0,23559
Dasarahalli,14,Tuesday,Clear,0,8834
National College,19,Monday,Rain,0,16785
Konanakunte Cross,15,Saturday,Rain,0,14182
Whitefield (Kadugodi),9,Friday,Rain,0,23980
Deepanjali Nagar,22,Tuesday,Cloudy,0,13957
Jnanabharathi,7,Sunday,Cloudy,1,11635
Swami Vivekananda Road,8,Thursday,Rain,0,20744
Lalbagh,15,Saturday,Rain,0,13904
Lalbagh,12,Saturday,Clear,0,11542
Sandal Soap Factory,13,Wednesday,Cloudy,0,8831
Krantivira Sangolli Rayanna Railway Station,7,Tuesday,Rain,0,10157
Kundalahalli,8,Saturday,Clear,0,21005
Halasuru,22,Wednesday,Rain,0,15397
Thalaghattapura,10,Saturday,Rain,0,12888
Kengeri,18,Saturday,Cloudy,0,17137
"Dr. B. R. Ambedkar Station, Vidhana Soudha",13,Wednesday,Clear,0,14203
South End Circle,20,Thursday,Clear,0,9259
Halasuru,6,Wednesday,Rain,0,8923
Vajarahalli,6,Tuesday,Clear,0,11519
Sandal Soap Factory,8,Monday,Clear,1,15218
Krishna Rajendra Market,8,Friday,Rain,0,16640
Mantri Square Sampige Road,14,Wednesday,Rain,0,14205
Cubbon Park,13,Sunday,Cloudy,0,11338
Krantivira Sangolli Rayanna Railway Station,19,Wednesday,Clear,0,23702
Singayyanapalya,8,Tuesday,Cloudy,1,24315
Nallurhalli,20,Sunday,Clear,0,15624
Hopefarm Channasandra,6,Sunday,Rain,0,15293
"Sir.M.Visvesvaraya Stn., Central College",18,Monday,Clear,0,14274
Whitefield (Kadugodi),18,Sunday,Clear,0,16598
Nallurhalli,22,Saturday,Rain,0,11936
Jayanagar,12,Saturday,Rain,1,13485
Rajajinagar,19,Sunday,Rain,0,16427
Attiguppe,21,Saturday,Clear,0,14545
Kundalahalli,21,Tuesday,Clear,0,9079
Krishna Rajendra Market,11,Tuesday,Clear,0,14936
Jayanagar,8,Wednesday,Rain,0,21606
Jayanagar,13,Thursday,Cloudy,0,9985
Deepanjali Nagar,22,Sunday,Rain,1,13139
"Dr. B. R. Ambedkar Station, Vidhana Soudha",22,Saturday,Clear,0,14423
Indiranagar,19,Friday,Clear,0,14907
National College,22,Tuesday,Clear,0,12464
Baiyappanahalli,14,Tuesday,Rain,1,10860
Garudacharapalya,6,Tuesday,Clear,0,12910
Chickpete,8,Friday,Clear,0,21442
Sri Sathya Sai Hospital,6,Sunday,Cloudy,1,9276
Krantivira Sangolli Rayanna Railway Station,7,Sunday,Rain,1,8792
Goraguntepalya,15,Sunday,Rain,0,14726
Mahatma Gandhi Road,9,Monday,Cloudy,1,24227
Dasarahalli,7,Friday,Rain,0,9734
South End Circle,12,Tuesday,Clear,1,15048
Kadugodi Tree Park,15,Sunday,Cloudy,0,10835
Attiguppe,15,Friday,Rain,1,12875
Seetharampalya,14,Thursday,Cloudy,1,10513
"Nadaprabhu Kempegowda Station, Majestic",13,Saturday,Clear,0,12593
Yeshwanthpur,16,Tuesday,Cloudy,0,11598
Mahakavi Kuvempu Road,13,Tuesday,Clear,1,15605
Dasarahalli,16,Wednesday,Cloudy,0,8727
Attiguppe,11,Thursday,Cloudy,0,10966
Konanakunte Cross,21,Wednesday,Rain,0,14474
Rajajinagar,10,Monday,Rain,1,8886
"Dr. B. R. Ambedkar Station, Vidhana Soudha",10,Wednesday,Cloudy,0,10678
Hopefarm Channasandra,12,Thursday,Cloudy,0,11462
Doddakallasandra,13,Friday,Rain,0,9430
Mahatma Gandhi Road,15,Sunday,Cloudy,0,9728
Chickpete,8,Monday,Cloudy,0,15289
Doddakallasandra,10,Friday,Cloudy,0,12877
National College,6,Tuesday,Clear,0,14970
Magadi Road,17,Sunday,Rain,0,10020
"Sir.M.Visvesvaraya Stn., Central College",17,Friday,Cloudy,0,10261
Rajarajeshwari Nagar,17,Monday,Rain,0,10773
Hoodi,18,Sunday,Cloudy,0,19635
Rashtreeya Vidyalaya Road,10,Thursday,Cloudy,0,8520
Seetharampalya,9,Monday,Cloudy,1,18337
Pattanagere,18,Monday,Rain,0,16047
Deepanjali Nagar,17,Thursday,Clear,0,8559
Mysore Road,14,Saturday,Clear,0,12462
Konanakunte Cross,6,Friday,Clear,1,11016
Vijayanagar,18,Wednesday,Clear,0,22453
Pantharapalya - Nayandahalli,10,Saturday,Cloudy,0,9262
Jalahalli,12,Saturday,Clear,1,14610
Yelachenahalli,20,Sunday,Rain,0,10115
Lalbagh,19,Friday,Rain,1,14734
Rashtreeya Vidyalaya Road,19,Tuesday,Rain,0,23950
Peenya Industry,19,Monday,Rain,0,16400
Garudacharapalya,6,Sunday,Clear,1,14822
Singayyanapalya,8,Thursday,Cloudy,1,16639
Mysore Road,7,Tuesday,Cloudy,0,9047
"Sri Balagangadharanatha Swamiji Station, Hosahalli",12,Monday,Cloudy,0,14051
Garudacharapalya,12,Wednesday,Rain,0,12421
Swami Vivekananda Road,9,Sunday,Cloudy,1,15670
Mysore Road,16,Thursday,Rain,0,10661
Mahatma Gandhi Road,16,Sunday,Cloudy,0,13089
Jayaprakash Nagar,13,Monday,Rain,0,12822
Garudacharapalya,21,Saturday,Rain,0,8617
Krantivira Sangolli Rayanna Railway Station,12,Tuesday,Clear,0,12882
Kadugodi Tree Park,12,Thursday,Clear,0,8494
Mahatma Gandhi Road,6,Thursday,Cloudy,0,11826
Vijayanagar,6,Tuesday,Rain,0,13610
Krantivira Sangolli Rayanna Railway Station,9,Friday,Rain,0,23498
Sandal Soap Factory,16,Saturday,Cloudy,1,13171
Kadugodi Tree Park,9,Wednesday,Cloudy,0,22327
Mantri Square Sampige Road,11,Saturday,Clear,0,13116
Deepanjali Nagar,10,Saturday,Clear,0,10084
Mahalakshmi,13,Wednesday,Cloudy,0,8757
National College,12,Thursday,Rain,0,12101
South End Circle,21,Friday,Rain,0,11227
Rajajinagar,8,Thursday,Clear,0,17576
Yeshwanthpur,8,Saturday,Clear,0,16115
Krishna Rajendra Market,17,Tuesday,Clear,1,12904
Deepanjali Nagar,14,Saturday,Rain,0,9982
Mantri Square Sampige Road,22,Monday,Clear,0,14751
Hoodi,6,Thursday,Cloudy,1,13365
Mahalakshmi,21,Monday,Rain,0,15343
Rajajinagar,15,Sunday,Cloudy,0,15566
Goraguntepalya,16,Saturday,Rain,0,14018
Mysore Road,7,Thursday,Cloudy,1,14379
Deepanjali Nagar,20,Friday,Cloudy,0,12402
Mysore Road,14,Wednesday,Cloudy,0,12164
Hopefarm Channasandra,22,Wednesday,Clear,0,13094
Kengeri,9,Tuesday,Clear,0,22226
Nagasandra,9,Wednesday,Cloudy,0,14882
Rajarajeshwari Nagar,17,Sunday,Cloudy,1,10249
Indiranagar,13,Wednesday,Clear,0,11197
Rashtreeya Vidyalaya Road,13,Sunday,Rain,0,11880
"Nadaprabhu Kempegowda Station, Majestic",15,Tuesday,Rain,0,11358
Attiguppe,22,Monday,Rain,0,14742
"Sri Balagangadharanatha Swamiji Station, Hosahalli",20,Saturday,Clear,1,9676
Jnanabharathi,8,Monday,Rain,0,16655
Mahakavi Kuvempu Road,9,Friday,Rain,0,15053
Kadugodi Tree Park,13,Tuesday,Clear,0,13024
Peenya,20,Saturday,Cloudy,0,11362
"Sri Balagangadharanatha Swamiji Station, Hosahalli",17,Wednesday,Cloudy,0,8539
Nagasandra,17,Friday,Rain,0,12584
Doddakallasandra,13,Tuesday,Clear,1,11848
Lalbagh,6,Thursday,Cloudy,0,13611
Yelachenahalli,11,Wednesday,Rain,0,13026
Krishnarajapuram (K.R.Puram),14,Sunday,Cloudy,0,9619
Konanakunte Cross,17,Friday,Clear,1,9358
Srirampura,6,Saturday,Rain,1,13412
Kadugodi Tree Park,6,Tuesday,Rain,0,10025
"Dr. B. R. Ambedkar Station, Vidhana Soudha",15,Friday,Clear,0,10544
Pattandur Agrahara,14,Tuesday,Cloudy,0,15531
Vijayanagar,19,Tuesday,Rain,1,20753
Yeshwanthpur,22,Wednesday,Rain,1,10168
Kengeri Bus Terminal,6,Tuesday,Rain,0,9531
"Sir.M.Visvesvaraya Stn., Central College",15,Friday,Clear,1,8937
Mahalakshmi,18,Saturday,Rain,0,23176
Krishna Rajendra Market,22,Friday,Rain,0,14025
Rajarajeshwari Nagar,10,Wednesday,Cloudy,0,11930
Lalbagh,20,Friday,Clear,0,15410
Vijayanagar,19,Friday,Clear,0,16821
Garudacharapalya,14,Friday,Rain,0,11375
Garudacharapalya,10,Sunday,Rain,0,14039
Chickpete,9,Thursday,Cloudy,0,15592
Nagasandra,10,Thursday,Rain,0,9655
Banashankari,11,Thursday,Rain,0,15261
Silk Institute,11,Friday,Clear,0,9022
"Sri Balagangadharanatha Swamiji Station, Hosahalli",8,Tuesday,Rain,0,14827
Mantri Square Sampige Road,8,Monday,Cloudy,0,23528
Rajarajeshwari Nagar,9,Thursday,Cloudy,0,15557
"Sir.M.Visvesvaraya Stn., Central College",10,Sunday,Cloudy,0,13845
Srirampura,20,Friday,Clear,1,12600
Rajarajeshwari Nagar,21,Friday,Cloudy,0,12045
Peenya Industry,17,Sunday,Clear,0,12059
Banashankari,13,Wednesday,Rain,0,14346
Garudacharapalya,6,Friday,Rain,0,10462
Lalbagh,8,Saturday,Cloudy,0,15096
Mantri Square Sampige Road,7,Tuesday,Rain,0,11311
Banashankari,15,Friday,Rain,1,10714
Attiguppe,19,Tuesday,Rain,1,15095
Srirampura,12,Monday,Cloudy,0,14090
Kengeri,14,Sunday,Clear,1,13294
Krishnarajapuram (K.R.Puram),20,Friday,Clear,1,12680
Jnanabharathi,22,Friday,Cloudy,0,10536
Jayanagar,22,Thursday,Cloudy,1,9405
Jalahalli,18,Monday,Rain,0,23700
Nallurhalli,16,Monday,Rain,0,14034
Mahakavi Kuvempu Road,22,Friday,Clear,1,9481
Kundalahalli,17,Wednesday,Clear,1,12888
Yelachenahalli,11,Thursday,Cloudy,1,14687
Singayyanapalya,21,Sunday,Cloudy,0,12344
Deepanjali Nagar,14,Tuesday,Cloudy,0,13834
Mysore Road,15,Saturday,Cloudy,0,14679
South End Circle,12,Wednesday,Rain,0,9156
Singayyanapalya,10,Monday,Rain,0,15515
"Dr. B. R. Ambedkar Station, Vidhana Soudha",19,Monday,Cloudy,0,23178
Deepanjali Nagar,11,Friday,Cloudy,1,10048
Garudacharapalya,15,Tuesday,Clear,0,11857
Jalahalli,21,Thursday,Clear,0,11099
Peenya Industry,21,Monday,Cloudy,0,8941
National College,20,Tuesday,Rain,0,14592
Srirampura,15,Monday,Clear,1,14573
Kengeri Bus Terminal,10,Tuesday,Rain,0,15593
Vajarahalli,22,Monday,Clear,0,13785
Mahatma Gandhi Road,8,Thursday,Cloudy,1,13972
Singayyanapalya,8,Sunday,Rain,0,17986
Nallurhalli,17,Monday,Clear,0,10602
Nagasandra,8,Sunday,Rain,0,20771
Kengeri,13,Thursday,Clear,0,11973
Kengeri Bus Terminal,17,Monday,Cloudy,0,9282
Singayyanapalya,7,Friday,Rain,0,13575
Jalahalli,11,Thursday,Rain,1,8840
"Dr. B. R. Ambedkar Station, Vidhana Soudha",14,Saturday,Rain,0,9766
Chickpete,20,Sunday,Clear,0,13474
Doddakallasandra,8,Sunday,Cloudy,0,23192
National College,16,Saturday,Clear,1,8983
Cubbon Park,7,Saturday,Clear,0,14579
Hopefarm Channasandra,7,Sunday,Clear,1,10170
Pantharapalya - Nayandahalli,19,Thursday,Rain,1,22033
Seetharampalya,16,Monday,Cloudy,0,12443
Lalbagh,21,Monday,Clear,1,9995
Attiguppe,13,Saturday,Cloudy,0,8641
Nallurhalli,7,Monday,Cloudy,0,10806
Rajajinagar,8,Wednesday,Clear,0,23435
Thalaghattapura,8,Wednesday,Clear,0,22297
Dasarahalli,13,Friday,Clear,0,8473
Peenya,7,Sunday,Clear,1,13960
"Dr. B. R. Ambedkar Station, Vidhana Soudha",15,Wednesday,Cloudy,0,12002
Attiguppe,17,Wednesday,Cloudy,0,9124
Kengeri,20,Thursday,Clear,0,14786
Rajajinagar,16,Wednesday,Cloudy,1,13644
Dasarahalli,16,Monday,Rain,0,13384
Magadi Road,18,Sunday,Rain,0,21039
Jalahalli,18,Thursday,Rain,1,21849
Krantivira Sangolli Rayanna Railway Station,18,Saturday,Clear,1,18785
Kadugodi Tree Park,8,Monday,Cloudy,0,21739
National College,7,Sunday,Rain,0,9766
Jalahalli,10,Monday,Cloudy,0,8632
Silk Institute,7,Saturday,Cloudy,0,10075
Nallurhalli,21,Saturday,Cloudy,0,9638
Vajarahalli,8,Monday,Cloudy,0,17463
"Sir.M.Visvesvaraya Stn., Central College",17,Wednesday,Rain,0,14042
Kengeri Bus Terminal,12,Sunday,Cloudy,0,14376
Nagasandra,10,Tuesday,Clear,0,10373
Nallurhalli,19,Friday,Rain,0,20944
Vijayanagar,13,Sunday,Rain,0,12416
Seetharampalya,20,Monday,Cloudy,0,11265
"Sir.M.Visvesvaraya Stn., Central College",16,Saturday,Cloudy,0,13120
